Document ID,cluster_id,stakeholder_type,NIST AI RMF,NIST AI 100-1,NIST SP 800-*,EU AI Act,EO 14110,EO 14141,OMB M-*,ISO/IEC 42001,ISO/IEC 23894,MITRE ATLAS,OWASP,C2PA
NIST-2025-0035-0002,0,AIStartup,1,1,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0003,1,Other,1,1,0,1,0,0,0,0,0,0,1,0
NIST-2025-0035-0012,10,TradeAssociation,1,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0104,100,AIStartup,1,1,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0105,101,Other,0,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0106,102,EnterpriseSoftwareOrSecurityVendor,0,0,0,1,0,0,0,0,0,1,1,0
NIST-2025-0035-0107,103,AIFoundationModelLab,1,0,0,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0108,104,Individual,1,1,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0109,105,EnterpriseSoftwareOrSecurityVendor,1,1,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0110,106,Other,1,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0111,107,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0112,108,AIStartup,1,1,0,0,0,0,0,1,0,0,1,0
NIST-2025-0035-0113,109,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0013,11,TradeAssociation,1,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0114,110,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0116,111,Individual,1,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0117,112,Individual,1,0,1,1,0,0,0,0,0,0,0,0
NIST-2025-0035-0118,113,AIStartup,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0119,114,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0120,115,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0121,116,Individual,0,0,1,1,0,0,0,0,0,0,1,0
NIST-2025-0035-0122,117,Other,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0123,118,CivilSocietyNGO,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0124,119,Individual,1,0,1,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0014,12,Individual,1,1,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0125,120,LawFirmOrConsultancy,1,0,0,0,0,0,0,1,0,0,0,0
NIST-2025-0035-0126,121,Individual,1,1,1,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0127,122,Individual,0,0,0,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0128,123,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0129,124,AIStartup,1,1,1,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0130,125,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0131,126,Individual,1,1,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0132,127,AIStartup,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0133,128,LargeTechCompany,0,0,0,0,0,0,0,1,0,0,0,0
NIST-2025-0035-0134,129,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0015,13,CivilSocietyNGO,1,1,1,1,0,0,0,1,0,0,0,0
NIST-2025-0035-0135,130,AIStartup,0,0,0,1,0,0,0,0,0,0,0,0
NIST-2025-0035-0137,131,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0138,132,Individual,1,0,0,1,0,0,0,0,0,0,1,0
NIST-2025-0035-0139,133,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0140,134,Individual,1,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0141,135,Other,1,0,0,0,0,0,0,1,0,0,0,0
NIST-2025-0035-0142,136,Individual,1,0,0,0,0,0,0,1,0,0,0,0
NIST-2025-0035-0143,137,CivilSocietyNGO,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0144,138,Individual,0,0,1,1,0,0,0,0,0,0,0,1
NIST-2025-0035-0145,139,Other,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0016,14,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0146,140,EnterpriseSoftwareOrSecurityVendor,1,1,1,0,0,0,0,0,0,0,0,0
